epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,51.0754,0.86757,1.16029,0.5569,0.71364,0.83397,0.9899,0.81638,0.91934,0.67411,0.96033,0.82083,0.89515,0.76604,1.00308,1.68063,0.55382,0.68843,0.81182,0.000373119,0.000373119,0.000373119
28,52.741,0.88853,1.1886,0.55339,0.69803,0.84248,0.99013,0.83591,0.94901,0.72921,0.98026,0.82763,0.92058,0.82769,0.90917,1.38366,0.54298,0.65716,0.79593,0.000357893,0.000357893,0.000357893
29,54.4362,0.91671,1.16121,0.54979,0.71003,0.8364,0.98801,0.81667,0.94834,0.71423,0.98801,0.81667,0.93385,0.7905,0.99679,1.5491,0.54311,0.6235,0.80359,0.000342666,0.000342666,0.000342666
30,56.2319,0.90199,0.99946,0.54364,0.69447,0.84044,0.92553,0.8803,0.95773,0.77566,0.98454,0.82083,0.95076,0.85284,0.80277,1.32677,0.53298,0.5911,0.78721,0.00032744,0.00032744,0.00032744
31,58.1515,0.8301,0.95433,0.53664,0.66554,0.83384,0.99017,0.825,0.95609,0.70457,0.98995,0.82066,0.94471,0.8013,0.97798,1.4733,0.5318,0.60636,0.80325,0.000312214,0.000312214,0.000312214
32,59.9801,0.82352,0.92985,0.53278,0.65052,0.83039,0.99498,0.82582,0.96322,0.71681,1,0.82435,0.95442,0.85241,0.95932,1.31969,0.5233,0.58609,0.79772,0.000296988,0.000296988,0.000296988
33,61.7618,0.83797,0.92207,0.52966,0.64938,0.83298,0.91884,0.89623,0.9657,0.76123,0.9095,0.88333,0.9528,0.84874,0.82098,1.16058,0.52154,0.56056,0.79347,0.000281762,0.000281762,0.000281762
34,63.5027,0.81039,0.8569,0.52173,0.62414,0.8391,0.93274,0.92457,0.97621,0.7553,0.92779,0.88333,0.96967,0.86275,0.89142,1.11321,0.51533,0.55283,0.79178,0.000266535,0.000266535,0.000266535
35,65.2119,0.82567,0.79779,0.51807,0.63155,0.82749,0.944,0.88333,0.97019,0.75194,0.92201,0.8866,0.95502,0.84482,0.89697,1.17729,0.51152,0.55726,0.79453,0.000251309,0.000251309,0.000251309
36,66.9584,0.83456,0.79112,0.51842,0.64721,0.82242,0.91904,0.93333,0.97478,0.77134,0.92028,0.91388,0.96036,0.86459,0.84638,1.10691,0.50645,0.52848,0.78958,0.000236083,0.000236083,0.000236083
37,68.7137,0.81553,0.82345,0.50825,0.63054,0.8316,0.98978,0.83333,0.93868,0.71011,0.97493,0.82083,0.9112,0.81382,0.96137,1.35382,0.50601,0.57295,0.80507,0.000220857,0.000220857,0.000220857
38,70.4796,0.76422,0.80504,0.51379,0.60845,0.83299,0.93706,0.93056,0.97454,0.77292,0.93245,0.92021,0.97393,0.87293,0.81708,0.95418,0.50067,0.52944,0.78486,0.000205631,0.000205631,0.000205631
39,72.1789,0.77379,0.72874,0.5041,0.60541,0.82556,0.93751,0.9125,0.9729,0.75994,0.94341,0.94167,0.97956,0.87241,0.85331,0.95703,0.50088,0.54889,0.78939,0.000190404,0.000190404,0.000190404
40,73.8975,0.76741,0.71542,0.50052,0.60782,0.82054,0.94414,0.92917,0.97813,0.79602,0.93045,0.94768,0.97932,0.89169,0.78798,0.84961,0.49683,0.53795,0.78111,0.000175178,0.000175178,0.000175178
41,83.4274,0.82037,0.59543,0.48696,0.67598,0.82536,0.97009,0.91667,0.98161,0.74252,0.95199,0.90882,0.97792,0.88734,0.94472,0.85907,0.49085,0.53807,0.79212,0.000159952,0.000159952,0.000159952
42,85.1814,0.7666,0.53406,0.48964,0.65129,0.81912,0.95586,0.90833,0.97978,0.786,0.96393,0.84167,0.96919,0.85745,0.79005,1.05834,0.48711,0.50821,0.78057,0.000144726,0.000144726,0.000144726
43,86.889,0.65727,0.50029,0.48341,0.61527,0.81392,0.92012,0.9,0.97268,0.78254,0.9707,0.82836,0.95647,0.85995,0.78682,1.0634,0.48338,0.51042,0.78036,0.0001295,0.0001295,0.0001295
44,88.5838,0.64586,0.46694,0.48089,0.60293,0.81088,0.96556,0.93466,0.98604,0.78354,0.94268,0.9125,0.9721,0.86834,0.80259,0.89843,0.48459,0.50134,0.78192,0.000114273,0.000114273,0.000114273
45,90.3041,0.64304,0.46036,0.47756,0.60033,0.82893,0.95073,0.94167,0.98496,0.78316,0.95828,0.91667,0.98299,0.87822,0.78837,0.8292,0.48325,0.49525,0.77986,9.90472e-05,9.90472e-05,9.90472e-05
46,92.0285,0.61857,0.43823,0.47452,0.58906,0.81515,0.9608,0.94583,0.98584,0.78779,0.94984,0.93333,0.98433,0.89076,0.76743,0.78379,0.48086,0.48886,0.7781,8.3821e-05,8.3821e-05,8.3821e-05
47,93.7726,0.63042,0.46231,0.47385,0.60572,0.81217,0.9706,0.96299,0.98991,0.79086,0.94931,0.93641,0.98105,0.88636,0.75673,0.76061,0.47764,0.49392,0.77513,6.85948e-05,6.85948e-05,6.85948e-05
48,95.5503,0.60937,0.42831,0.47132,0.58245,0.80584,0.97071,0.96647,0.9899,0.79326,0.9456,0.94155,0.97988,0.89285,0.76463,0.73808,0.4759,0.49374,0.77361,5.33686e-05,5.33686e-05,5.33686e-05
49,97.4229,0.60399,0.41677,0.46995,0.57046,0.81403,0.97288,0.975,0.99145,0.7957,0.94605,0.94167,0.97629,0.89255,0.76962,0.77184,0.47507,0.48946,0.77545,3.81424e-05,3.81424e-05,3.81424e-05
50,99.273,0.57302,0.41711,0.46817,0.56292,0.80031,0.97473,0.96442,0.98997,0.80121,0.95334,0.95,0.98174,0.89394,0.74222,0.73995,0.47452,0.48,0.77326,2.29162e-05,2.29162e-05,2.29162e-05
